Date,Close/Last,Volume,Open,High,Low
06/15/2020,1933.1,1024,1930,1956.4,1889.5
06/12/2020,1938.5,857,1924.1,1963.1,1919.2
06/11/2020,1910.1,995,1952.2,1968.3,1904.1
06/10/2020,1930.8,1113,1965,1997,1915
06/09/2020,1967.1,1147,2049.6,2056.5,1936.4
06/08/2020,2036.9,1092,1945.3,2060.3,1926.2
06/05/2020,1952.6,870,1942.3,1995.1,1916.4
06/04/2020,1922.8,1216,1957.3,1963,1832.2
06/03/2020,1958.2,739,1986.9,2000.9,1955.2
06/02/2020,1982.6,849,1991.9,2029,1965.3
06/01/2020,1988.4,638,1938,1995,1934.4
05/29/2020,1934.5,6,1893.1,1900.1,1893.1
05/28/2020,1946.5,1347,1987.9,2011.3,1905.8
05/27/2020,1978.4,1607,1965.5,2000,1893.5
05/26/2020,1983.8,N/A,1983.8,1983.8,1983.8
05/22/2020,1971.8,N/A,1971.8,1971.8,1971.8
05/21/2020,2058.1,987,2139.4,2140,2030.9
05/20/2020,2154.1,N/A,2154.1,2154.1,2154.1
05/19/2020,2063.8,678,2035.6,2132,1977
05/18/2020,2027.1,2262,1873.1,2070,1864.9
05/15/2020,1852.6,N/A,1852.6,1852.6,1852.6
05/14/2020,1798.2,1107,1804,1814.4,1742.2
05/13/2020,1790.7,1269,1817.2,1839.6,1747.5
05/12/2020,1835.4,1191,1852.5,1887.4,1814.3
05/11/2020,1828.1,1303,1844.4,1914.5,1805
05/08/2020,1815.8,N/A,1815.8,1815.8,1815.8
05/07/2020,1835.7,1314,1761.5,1843.1,1761.5
05/06/2020,1758.9,1374,1778.5,1793.1,1735
05/05/2020,1756.5,1452,1830.9,1837.1,1732
05/04/2020,1831,N/A,1831,1831,1831
05/01/2020,1883.5,N/A,1883.5,1883.5,1883.5
04/30/2020,1956,1200,1929,2075.6,1919.3
04/29/2020,1913.5,N/A,1913.5,1913.5,1913.5
04/28/2020,1878.7,927,1911.1,1922.1,1862.5
04/27/2020,1894.8,1037,1998.9,2029.4,1875
04/24/2020,2013.8,N/A,2013.8,2013.8,2013.8
04/23/2020,2001,1085,1852.1,2046.8,1852.1
04/22/2020,1892.2,735,1884.4,1924.1,1873.4
04/21/2020,1907.6,1826,2121.4,2130.5,1765
04/20/2020,2127.5,711,2112.9,2159.2,2103.1
