Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,61753.65,58507.51,61191.19,62548.98,53254.86,54664,57610.1,61598.54,60213.09,60908.84
Dominican Republic,5913.43,6110.37,6238.13,6608.83,6921.52,7280.88,7609.35,8050.64,8282.12,7268.2
Algeria,5455.68,5592.22,5499.59,5493.06,4177.89,3946.45,4109.7,4153.96,3975.51,3310.39
East Asia & Pacific (excluding high income),4855.67,5375.53,5890.47,6303.52,6519.04,6609.48,7172.7,7968.09,8194.27,8291.75
Early-demographic dividend,3255.83,3365.32,3378.6,3447.1,3301.14,3333.15,3554.53,3526.98,3581.13,3254.97
East Asia & Pacific,8860.4,9418.02,9465.44,9698.35,9592.8,9857.24,10468.34,11317.4,11499.63,
Europe & Central Asia (excluding high income),9601.43,10121.83,10689.04,9916.76,7546.23,7177.77,8018.71,8206.6,8337.86,7656.59
Europe & Central Asia,26137.8,25076.29,26083.7,26315.98,22588.12,22413.8,23651.46,25229.23,24791.44,23780.38
Ecuador,5200.56,5682.05,6056.33,6377.09,6124.49,6060.09,6213.5,6295.93,6222.52,5600.39
"Egypt, Arab Rep.",2791.81,3229.69,3262.66,3379.56,3562.93,3519.87,2444.29,2537.13,3019.09,3547.87
Euro area,40597,37531.87,39052.1,39805.35,34380.89,35161.56,37136.95,40017.04,39042.5,37712.12
Spain,31677.9,28322.81,29067.81,29500.79,25742.37,26523.35,28170.17,30389.36,29564.74,27057.16
Estonia,17647.14,17533.42,19179.55,20394.23,17529.28,18449.78,20458.46,23170.71,23717.8,23312.28
Ethiopia,354.48,467.08,499.53,566.93,640.54,717.12,768.52,771.52,855.76,936.34
European Union,35707.57,33107.29,34523.3,35201.73,30477.34,31182.79,33078.45,35718.6,34960.02,33927.72
Fragile and conflict affected situations,2181.31,2450.64,2517.43,2672.32,2316.15,2057.05,2043.62,2140.8,2221.61,1935.09
Finland,51148.93,47708.06,49892.22,50327.24,42801.91,43814.03,46412.14,50037.73,48711.56,49041.34
Fiji,4371.45,4591.58,4840.73,5605.61,5390.71,5651.27,6101.02,6317.44,6175.87,4881.53
France,43848.11,40872.36,42605.04,43068.55,36652.92,37062.53,38781.05,41546.7,40380.1,38625.07
Faroe Islands,52092.6,49459.72,54843.32,59433.83,52400.3,56854.1,59993.09,62918.15,64225.26,
"Micronesia, Fed. Sts.",3009.26,3131.39,2994.79,2971.51,2906.62,3014.7,3289.64,3568.29,3585.42,
Gabon,10809.68,9813.51,9683.58,9663.42,7384.7,6984.42,7230.43,7956.63,7767.02,7005.88
United Kingdom,42047.61,42449.11,43401.31,47452.2,45039.24,41048.35,40306.07,42995.68,42354.41,40284.64
Georgia,4021.74,4421.82,4623.75,4739.19,4014.19,4062.17,4357,4722.79,4697.98,4278.86
Ghana,1549.46,1587.56,2361.09,1899.67,1705.58,1913.47,2020.68,2194.23,2210.36,2328.53
Guinea,651.14,717.05,769,787.24,769.26,732.29,855.58,955.11,1058.14,1194.04
"Gambia, The",762.76,742.78,700.52,607.43,660.72,690.78,679.76,732.72,777.82,787.01
Guinea-Bissau,703.66,616.38,634.66,623.31,603.4,661.46,738.55,802.77,749.45,727.52
Equatorial Guinea,21641.69,21711.15,20390.74,19394.08,11283.4,9250.32,9667.86,10005.62,8419.93,7143.24
Greece,25483.88,21913.94,21755.34,21630.55,18057.36,17897.54,18608.19,19775.65,19150.79,17676.19
